REGION,DISTRICT NAME AND NUMBER,CUMULATIVE YEAR END ENROLLMENT,DISCIPLINE POPULATION,DISCIPLINE RECORD COUNT,STUDENTS EXPELLED,STUDENTS EXPELLED TO JJAEP,STUDENTS REMOVED TO A DAEP,STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL
1,VALLEY VIEW ISD 108916,4724.0,411.0,949.0,0.0,0.0,80.0,271.0,82.0,0.0,0.0,10.0,0.0,0.0,69.0
1,VANGUARD ACADEMY 108808,3443.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
1,WEBB CISD 240904,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WESLACO ISD 108913,18487.0,1628.0,4403.0,0.0,0.0,351.0,1139.0,90.0,0.0,0.0,201.0,0.0,0.0,812.0
1,ZAPATA COUNTY ISD 253901,3654.0,236.0,480.0,0.0,0.0,58.0,91.0,31.0,0.0,0.0,39.0,0.0,0.0,171.0
2,AGUA DULCE ISD 178901,376.0,31.0,57.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ALICE ISD 125901,5314.0,715.0,2339.0,0.0,0.0,99.0,600.0,33.0,0.0,0.0,0.0,0.0,0.0,318.0
2,ARANSAS COUNTY ISD 004901,3624.0,410.0,1064.0,0.0,0.0,68.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
2,ARANSAS PASS ISD 205901,1637.0,273.0,972.0,0.0,0.0,19.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
2,BANQUETE ISD 178913,979.0,111.0,243.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,BEEVILLE ISD 013901,3616.0,544.0,1371.0,0.0,0.0,97.0,463.0,51.0,0.0,0.0,23.0,0.0,0.0,182.0
2,BEN BOLT-PALITO BLANCO ISD 125902,600.0,22.0,31.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,BENAVIDES ISD 066901,357.0,19.0,32.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,BISHOP CISD 178902,1590.0,156.0,436.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
2,BROOKS COUNTY ISD 024901,1710.0,171.0,528.0,0.0,0.0,53.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
2,CALALLEN ISD 178903,4426.0,629.0,1829.0,0.0,0.0,57.0,596.0,52.0,0.0,0.0,45.0,0.0,0.0,55.0
2,CORPUS CHRISTI ISD 178904,40564.0,3963.0,9302.0,0.0,0.0,883.0,2469.0,590.0,0.0,0.0,264.0,0.0,0.0,2160.0
2,CORPUS CHRISTI MONTESSORI SCHOOL 178807,157.0,21.0,28.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DR M L GARZA-GONZALEZ CHARTER SCHO 178801,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,DRISCOLL ISD 178905,349.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,FLOUR BLUFF ISD 178914,6436.0,1089.0,2815.0,0.0,0.0,202.0,1015.0,87.0,0.0,0.0,34.0,0.0,0.0,99.0
2,FREER ISD 066903,855.0,90.0,177.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GEORGE WEST ISD 149901,1193.0,130.0,329.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
2,GREGORY-PORTLAND ISD 205902,6674.0,570.0,1617.0,0.0,0.0,90.0,536.0,68.0,0.0,0.0,33.0,0.0,0.0,127.0
2,INGLESIDE ISD 205903,2568.0,239.0,613.0,0.0,0.0,32.0,218.0,26.0,0.0,0.0,13.0,0.0,0.0,37.0
2,KENEDY COUNTY WIDE CSD 131001,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,KINGSVILLE ISD 137901,3707.0,628.0,1913.0,0.0,0.0,90.0,517.0,62.0,0.0,0.0,17.0,0.0,0.0,256.0
2,LA GLORIA ISD 125906,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LONDON ISD 178906,1089.0,28.0,49.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2,MATHIS ISD 205904,1832.0,133.0,195.0,0.0,0.0,48.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,91.0
2,MCMULLEN COUNTY ISD 162904,279.0,12.0,16.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ODEM-EDROY ISD 205905,1039.0,145.0,282.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
2,ORANGE GROVE ISD 125903,2038.0,331.0,842.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
2,PAWNEE ISD 013902,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,PETTUS ISD 013903,486.0,66.0,137.0,0.0,0.0,10.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,PORT ARANSAS ISD 178908,592.0,27.0,68.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,PREMONT ISD 125905,645.0,47.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
2,RAMIREZ CSD 066005,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,RICARDO ISD 137902,751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,RIVIERA ISD 137903,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ROBSTOWN ISD 178909,3012.0,384.0,1008.0,0.0,0.0,64.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0
2,SAN DIEGO ISD 066902,1580.0,144.0,298.0,0.0,0.0,25.0,116.0,16.0,0.0,0.0,0.0,0.0,0.0,17.0
2,SANTA GERTRUDIS ISD 137904,802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,SEASHORE CHARTER SCHOOLS 178808,597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,SINTON ISD 205906,2602.0,328.0,768.0,0.0,0.0,43.0,313.0,25.0,0.0,0.0,28.0,0.0,0.0,0.0
2,SKIDMORE-TYNAN ISD 013905,888.0,127.0,343.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ST MARY'S ACADEMY CHARTER SCHOOL 013801,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,TAFT ISD 205907,1170.0,286.0,1030.0,0.0,0.0,36.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0
2,THREE RIVERS ISD 149902,729.0,38.0,59.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,TULOSO-MIDWAY ISD 178912,4223.0,410.0,915.0,0.0,0.0,78.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
2,WEST OSO ISD 178915,2272.0,435.0,1184.0,0.0,0.0,47.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0
3,AUSTWELL-TIVOLI ISD 196901,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,BAY CITY ISD 158901,3929.0,671.0,3106.0,0.0,0.0,118.0,486.0,81.0,0.0,0.0,51.0,0.0,0.0,377.0
3,BLOOMINGTON ISD 235901,993.0,100.0,311.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
3,BOLING ISD 241901,1172.0,137.0,275.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,CALHOUN COUNTY ISD 029901,4153.0,700.0,3548.0,0.0,0.0,95.0,674.0,67.0,0.0,0.0,12.0,0.0,0.0,164.0
3,COLUMBUS ISD 045902,1699.0,188.0,519.0,0.0,0.0,15.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
3,CUERO ISD 062901,2204.0,180.0,437.0,0.0,0.0,22.0,147.0,18.0,0.0,0.0,0.0,0.0,0.0,52.0
3,EAST BERNARD ISD 241902,987.0,96.0,180.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,EDNA ISD 120901,1731.0,75.0,148.0,0.0,0.0,30.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
3,EL CAMPO ISD 241903,3846.0,671.0,2164.0,0.0,0.0,41.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0
3,EZZELL ISD 143906,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,GANADO ISD 120902,804.0,106.0,270.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
3,GOLIAD ISD 088902,1416.0,174.0,383.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,HALLETTSVILLE ISD 143901,1203.0,143.0,470.0,0.0,0.0,10.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
3,INDUSTRIAL ISD 120905,1216.0,160.0,441.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,KARNES CITY ISD 128901,1227.0,114.0,298.0,0.0,0.0,16.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
3,KENEDY ISD 128902,919.0,108.0,207.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
3,LOUISE ISD 241906,553.0,70.0,124.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
