CAMPUS NAME AND NUMBER,CAMPUS CUMULATIVE YEAR END ENROLLMENT,CAMPUS DISCIPLINE POPULATION,CAMPUS DISCIPLINE RECORD COUNT,COUNT OF STUDENTS EXPELLED,COUNT OF STUDENTS EXPELLED TO JJAEP,COUNT OF STUDENTS REMOVED TO A DAEP,COUNT OF STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL,REGION,DISTRICT NAME AND NUMBER
CORINTH EL 061912103,641.0,31.0,57.0,,,,31.0,,,,,,,,11,LAKE DALLAS ISD 061912
CORNELIUS EL 101912133,952.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
CORNERSTONE ACADEMY 101920048,374.0,13.0,17.0,,,,,,,,,,,13.0,4,SPRING BRANCH ISD 101920
CORNERSTONE EL 079907147,1142.0,,,,,,,,,,,,,,4,FORT BEND ISD 079907
CORONADO EL 188901104,530.0,27.0,54.0,,,,25.0,,,,,,,,16,AMARILLO ISD 188901
CORONADO H S 071902005,2928.0,227.0,319.0,,,106.0,147.0,65.0,,,53.0,,,,19,EL PASO ISD 071902
CORONADO H S 152901020,2295.0,534.0,1473.0,,,79.0,500.0,19.0,,,67.0,,,172.0,17,LUBBOCK ISD 152901
CORONADO MIDDLE 095905043,646.0,112.0,334.0,,,19.0,109.0,,,,,,,36.0,17,PLAINVIEW ISD 095905
CORONADO VILLAGE EL 015916104,425.0,,11.0,,,,,,,,,,,,20,JUDSON ISD 015916
CORPUS CHRISTI COLLEGE PREP H S 015801002,76.0,,,,,,,,,,,,,,20,POR VIDA ACADEMY 015801
CORPUS CHRISTI MONTESSORI SCHOOL 178807101,157.0,21.0,28.0,,,,17.0,,,,,,,,2,CORPUS CHRISTI MONTESSORI SCHOOL 178807
CORRIGAN-CAMDEN EL 187904103,448.0,35.0,76.0,,,,35.0,,,,,,,,6,CORRIGAN-CAMDEN ISD 187904
CORRIGAN-CAMDEN H S 187904001,291.0,80.0,181.0,,,,75.0,,,,,,,,6,CORRIGAN-CAMDEN ISD 187904
CORRIGAN-CAMDEN J H 187904041,196.0,39.0,128.0,,,,38.0,,,,,,,,6,CORRIGAN-CAMDEN ISD 187904
CORSICANA H IGH SCHOOL 175903001,1759.0,318.0,890.0,,,61.0,301.0,,,,,,,53.0,12,CORSICANA ISD 175903
CORSICANA MIDDLE 175903041,882.0,180.0,497.0,,,33.0,169.0,,,,,,,62.0,12,CORSICANA ISD 175903
COSTON EL 003903123,277.0,27.0,53.0,,,,,,,,,,,14.0,7,LUFKIN ISD 003903
COTTON CENTER SCHOOL 095902001,134.0,,,,,,,,,,,,,,17,COTTON CENTER ISD 095902
COTTONWOOD CREEK EL 057922109,529.0,12.0,14.0,,,,12.0,,,,,,,,10,COPPELL ISD 057922
COTTONWOOD CREEK EL 246906103,664.0,26.0,44.0,,,,25.0,,,,,,,,13,HUTTO ISD 246906
COTULLA H S 142901001,373.0,121.0,354.0,,,24.0,113.0,26.0,,,,,,34.0,20,COTULLA ISD 142901
COUNTRY PLACE EL 057903112,435.0,,13.0,,,,,,,,,,,,10,CARROLLTON-FARMERS BRANCH ISD 057903
COUNTY LINE EL 046901106,397.0,,15.0,,,,,,,,,,,,13,NEW BRAUNFELS ISD 046901
COUNTY RESIDENTIAL CENTER 043907006,390.0,13.0,15.0,,,,,,,,,,,,10,MCKINNEY ISD 043907
COUPLAND EL 246914101,173.0,,15.0,,,,,,,,,,,,13,COUPLAND ISD 246914
COVE CHARTER ACADEMY 014803003,376.0,41.0,59.0,,,,24.0,,,,,,,20.0,12,PRIORITY CHARTER SCHOOLS 014803
COVINGTON MIDDLE 227901057,695.0,81.0,213.0,,,16.0,51.0,,,,,,,53.0,13,AUSTIN ISD 227901
COVINGTON SCHOOL 109903001,326.0,40.0,72.0,,,,40.0,,,,,,,,12,COVINGTON ISD 109903
COWAN EL 227901183,886.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
COWEN EARLY CHILDHOOD CENTER 177902101,105.0,,,,,,,,,,,,,,14,SWEETWATER ISD 177902
COX INT 170902077,1537.0,68.0,125.0,,,,68.0,,,,,,,,6,CONROE ISD 170902
COYLE MIDDLE 057909050,1099.0,272.0,779.0,,,12.0,233.0,,,,,,,110.0,10,GARLAND ISD 057909
COYOTE RIDGE EL 061902140,745.0,,12.0,,,,,,,,,,,,11,LEWISVILLE ISD 061902
CRAIG MIDDLE 221901048,1038.0,239.0,805.0,,,37.0,207.0,33.0,,,12.0,,,143.0,14,ABILENE ISD 221901
CRAIN EL 235902106,432.0,52.0,173.0,,,,52.0,,,,,,,,3,VICTORIA ISD 235902
CRANDALL COMPASS ACADEMY 129901002,67.0,,,,,,,,,,,,,,10,CRANDALL ISD 129901
CRANDALL H S 129901001,1136.0,175.0,434.0,,,39.0,161.0,24.0,,,23.0,,,38.0,10,CRANDALL ISD 129901
CRANDALL MIDDLE 129901041,691.0,137.0,376.0,,,28.0,126.0,20.0,,,14.0,,,45.0,10,CRANDALL ISD 129901
CRANE EL 052901101,617.0,12.0,16.0,,,,11.0,,,,,,,,18,CRANE ISD 052901
CRANE H S 052901001,344.0,50.0,85.0,,,,50.0,,,,,,,,18,CRANE ISD 052901
CRANE MIDDLE 052901041,282.0,40.0,78.0,,,,38.0,,,,,,,,18,CRANE ISD 052901
CRANFILLS GAP SCHOOL 018908001,148.0,13.0,19.0,,,,13.0,,,,,,,,12,CRANFILLS GAP ISD 018908
CRAWFORD EL 161901101,293.0,,,,,,,,,,,,,,12,CRAWFORD ISD 161901
CRAWFORD H S 161901001,278.0,,,,,,,,,,,,,,12,CRAWFORD ISD 161901
CREEDMOOR EL 227910111,704.0,22.0,37.0,,,,18.0,,,,,,,,13,DEL VALLE ISD 227910
CREEK VALLEY MIDDLE 061902054,712.0,70.0,141.0,,,,69.0,,,,,,,,11,LEWISVILLE ISD 061902
CREEK VIEW EL 021901109,629.0,15.0,30.0,,,,15.0,,,,,,,,6,COLLEGE STATION ISD 021901
CREEKSIDE EL 061902116,513.0,11.0,20.0,,,,11.0,,,,,,,,11,LEWISVILLE ISD 061902
CREEKSIDE FOREST EL 101921112,565.0,,,,,,,,,,,,,,4,TOMBALL ISD 101921
CREEKSIDE INT 084910046,960.0,104.0,258.0,,,,94.0,,,,,,,29.0,4,CLEAR CREEK ISD 084910
CREEKSIDE PARK J H 101921044,701.0,33.0,86.0,,,,33.0,,,,,,,13.0,4,TOMBALL ISD 101921
CREEKVIEW EL 101921115,643.0,12.0,21.0,,,,12.0,,,,,,,,4,TOMBALL ISD 101921
CREEKVIEW H S 057903006,2002.0,306.0,931.0,,,62.0,270.0,24.0,,,50.0,,,121.0,10,CARROLLTON-FARMERS BRANCH ISD 057903
CREEKVIEW MIDDLE 220918043,968.0,87.0,156.0,,,,85.0,,,,,,,20.0,11,EAGLE MT-SAGINAW ISD 220918
CREEKWOOD MIDDLE 101913043,1139.0,76.0,155.0,,,,69.0,,,,,,,16.0,4,HUMBLE ISD 101913
CREIGHTON EL 170902106,949.0,,,,,,,,,,,,,,6,CONROE ISD 170902
CRENSHAW EL 101905105,664.0,,,,,,,,,,,,,,4,CHANNELVIEW ISD 101905
CRENSHAW EL AND MIDDLE 084902102,176.0,16.0,29.0,,,,,,,,,,,,4,GALVESTON ISD 084902
CRESPO EL 101912290,920.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
CRESTVIEW EL 015916106,665.0,15.0,21.0,,,,,,,,,,,,20,JUDSON ISD 015916
CRESTVIEW EL 019905101,309.0,63.0,146.0,,,,62.0,,,,,,,,8,NEW BOSTON ISD 019905
CRESTVIEW EL 152907104,603.0,,15.0,,,,,,,,,,,,17,FRENSHIP ISD 152907
CRESTVIEW EL 161914106,640.0,119.0,415.0,,,,116.0,,,,,,,28.0,12,WACO ISD 161914
CRESTVIEW EL 191901107,486.0,,,,,,,,,,,,,,16,CANYON ISD 191901
CRESTVIEW EL 252901101,572.0,,,,,,,,,,,,,,9,GRAHAM ISD 252901
CROCKETT EARLY EDUCATION SCHOOL 057910138,658.0,,,,,,,,,,,,,,10,GRAND PRAIRIE ISD 057910
CROCKETT EL 021902105,494.0,44.0,82.0,,,,43.0,,,,,,,,6,BRYAN ISD 021902
CROCKETT EL 031903105,412.0,,,,,,,,,,,,,,1,HARLINGEN CISD 031903
CROCKETT EL 071902112,525.0,,,,,,,,,,,,,,19,EL PASO ISD 071902
CROCKETT EL 101911118,743.0,33.0,77.0,,,,33.0,,,,,,,,4,GOOSE CREEK CISD 101911
CROCKETT EL 101912135,591.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
CROCKETT EL 102902103,771.0,68.0,149.0,,,,58.0,,,,,,,,7,MARSHALL ISD 102902
CROCKETT EL 105902102,664.0,,13.0,,,,,,,,,,,,13,SAN MARCOS CISD 105902
CROCKETT EL 113901102,554.0,,91.0,,,,,,,,,,,49.0,6,CROCKETT ISD 113901
CROCKETT EL 116905103,360.0,23.0,36.0,,,,22.0,,,,,,,,10,GREENVILLE ISD 116905
CROCKETT EL 117901105,414.0,40.0,81.0,,,,40.0,,,,,,,,16,BORGER ISD 117901
CROCKETT EL 178904108,463.0,14.0,20.0,,,,,,,,,,,13.0,2,CORPUS CHRISTI ISD 178904
CROCKETT EL 184903102,542.0,,,,,,,,,,,,,,11,WEATHERFORD ISD 184903
CROCKETT EL 226903108,393.0,,20.0,,,,,,,,,,,,15,SAN ANGELO ISD 226903
CROCKETT EL 243905107,543.0,60.0,119.0,,,,54.0,,,,,,,13.0,9,WICHITA FALLS ISD 243905
CROCKETT H S 113901002,374.0,53.0,90.0,,,20.0,23.0,25.0,,,,,,,6,CROCKETT ISD 113901
CROCKETT H S 227901008,1603.0,165.0,314.0,,,55.0,84.0,,,,,,,105.0,13,AUSTIN ISD 227901
CROCKETT INT 139909112,633.0,200.0,692.0,,,27.0,198.0,,,,,,,48.0,8,PARIS ISD 139909
CROCKETT J H 113901041,303.0,74.0,156.0,,,20.0,55.0,,,,,,,34.0,6,CROCKETT ISD 113901
CROCKETT MIDDLE 057912042,952.0,172.0,408.0,,,26.0,160.0,,,,,,,80.0,10,IRVING ISD 057912
CROCKETT MIDDLE 068901044,1323.0,301.0,1415.0,,,49.0,238.0,10.0,,,49.0,,,227.0,18,ECTOR COUNTY ISD 068901
CROCKETT MIDDLE 188901043,905.0,136.0,282.0,,,12.0,132.0,,,,,,,49.0,16,AMARILLO ISD 188901
CROCKETT MIDDLE 195901042,594.0,95.0,165.0,,,,90.0,,,,,,,15.0,18,PECOS-BARSTOW-TOYAH ISD 195901
CROMACK EL 031901102,634.0,,,,,,,,,,,,,,1,BROWNSVILLE ISD 031901
CROSBY CROSSROADS ACADEMY 101906004,40.0,,,,,,,,,,,,,12.0,4,CROSBY ISD 101906
CROSBY EL 071902113,581.0,21.0,40.0,,,,,,,,,,,16.0,19,EL PASO ISD 071902
CROSBY EL 101906106,736.0,45.0,99.0,,,,44.0,,,,,,,,4,CROSBY ISD 101906
CROSBY EL 129902106,662.0,30.0,54.0,,,,28.0,,,,,,,,10,FORNEY ISD 129902
CROSBY H S 101906001,1877.0,390.0,2013.0,,,43.0,360.0,28.0,,,15.0,,,155.0,4,CROSBY ISD 101906
CROSBY KINDERGARTEN CENTER 101906102,717.0,,,,,,,,,,,,,,4,CROSBY ISD 101906
CROSBY MIDDLE 084908042,318.0,140.0,443.0,,,19.0,128.0,,,,,,,53.0,4,HITCHCOCK ISD 084908
CROSBY MIDDLE 101906042,1492.0,228.0,693.0,,,22.0,193.0,,,,,,,107.0,4,CROSBY ISD 101906
CROSBYTON EL 054901101,184.0,,,,,,12.0,,,,,,,,17,CROSBYTON CISD 054901
CROSBYTON SECONDARY 054901001,205.0,43.0,72.0,,,,42.0,,,,,,,,17,CROSBYTON CISD 054901
CROSS OAKS EL 061901125,830.0,,10.0,,,,,,,,,,,,11,DENTON ISD 061901
CROSS PLAINS EL 030901101,229.0,,,,,,,,,,,,,,14,CROSS PLAINS ISD 030901
CROSS PLAINS H S 030901001,173.0,,,,,,,,,,,,,,14,CROSS PLAINS ISD 030901
CROSS ROADS EL 107904101,270.0,19.0,23.0,,,,19.0,,,,,,,,7,CROSS ROADS ISD 107904
CROSS ROADS H S 107904001,176.0,21.0,28.0,,,,20.0,,,,,,,,7,CROSS ROADS ISD 107904
CROSS ROADS J H 107904041,150.0,53.0,131.0,,,,52.0,,,,,,,,7,CROSS ROADS ISD 107904
CROSS TIMBERS EL 220915108,584.0,14.0,17.0,,,,,,,,,,,,11,AZLE ISD 220915
CROSS TIMBERS INT 220908202,880.0,145.0,490.0,,,,138.0,,,,,,,47.0,11,MANSFIELD ISD 220908
CROSS TIMBERS MIDDLE 220906044,869.0,67.0,147.0,,,,64.0,,,,,,,16.0,11,GRAPEVINE-COLLEYVILLE ISD 220906
CROSSROADS 101903011,,56.0,107.0,,,44.0,,,,,,,,24.0,4,ALIEF ISD 101903
CROSSROADS H S 050910005,121.0,34.0,103.0,,,,,,,,,,,32.0,12,COPPERAS COVE ISD 050910
CROSSROADS H S 126902003,141.0,15.0,27.0,,,,10.0,,,,,,,,11,BURLESON ISD 126902
CROSSTIMBERS ACADEMY 184801001,180.0,,,,,,,,,,,,,,11,CROSSTIMBERS ACADEMY 184801
CROSSWINDS H S 057910009,692.0,25.0,28.0,,,,11.0,,,,,,,10.0,10,GRAND PRAIRIE ISD 057910
CROUCH EL 220901150,680.0,30.0,64.0,,,,26.0,,,,,,,,11,ARLINGTON ISD 220901
CROW EL 220901103,405.0,29.0,48.0,,,11.0,14.0,,,,,,,18.0,11,ARLINGTON ISD 220901
CROWELL SCHOOL 078901001,236.0,26.0,44.0,,,,23.0,,,,,,,,9,CROWELL ISD 078901
CROWLEY H S 220912001,2335.0,523.0,1536.0,,,128.0,417.0,78.0,,,70.0,,,260.0,11,CROWLEY ISD 220912
CROWLEY MIDDLE 220912042,728.0,179.0,578.0,,,32.0,116.0,,,,,,,131.0,11,CROWLEY ISD 220912
CROWNOVER MIDDLE 061901041,975.0,77.0,144.0,,,,69.0,,,,,,,28.0,11,DENTON ISD 061901
CRUTCHFIELD EL 091906104,467.0,,,,,,,,,,,,,,10,SHERMAN ISD 091906
CRYAR INTERMEDIATE 170902073,761.0,131.0,284.0,,,11.0,122.0,,,,,,,31.0,6,CONROE ISD 170902
CRYSTAL CITY H S 254901001,563.0,87.0,218.0,,,19.0,59.0,,,,,,,41.0,20,CRYSTAL CITY ISD 254901
CUERO H S 062901001,729.0,93.0,255.0,,,22.0,70.0,,,,,,,52.0,3,CUERO ISD 062901
CUERO J H 062901041,508.0,87.0,182.0,,,,,18.0,,,,,,,3,CUERO ISD 062901
CULLEN MIDDLE 101912044,538.0,222.0,491.0,,,29.0,,,,,,,,216.0,4,HOUSTON ISD 101912
CULLEN MIDDLE 178904045,470.0,134.0,587.0,,,41.0,119.0,,,,,,,71.0,2,CORPUS CHRISTI ISD 178904
CUMBERLAND ACADEMY 212801101,616.0,62.0,147.0,,,,47.0,,,,,,,39.0,7,CUMBERLAND ACADEMY 212801
CUMBERLAND ACADEMY MIDDLE 212801041,527.0,93.0,173.0,,,,80.0,,,,,,,30.0,7,CUMBERLAND ACADEMY 212801
CUMBERLAND H S 212801001,596.0,130.0,254.0,,,,112.0,,,,,,,53.0,7,CUMBERLAND ACADEMY 212801
CUMBY EL 112905101,200.0,24.0,51.0,,,,22.0,,,,,,,,8,CUMBY ISD 112905
CUMBY H S 112905001,223.0,24.0,43.0,,,,24.0,,,,,,,,8,CUMBY ISD 112905
CUMMINGS EL 101903112,657.0,15.0,30.0,,,,,,,,,,,12.0,4,ALIEF ISD 101903
CUNNINGHAM EL 101912136,758.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
CUNNINGHAM EL 227901113,427.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
CUNNINGHAM MIDDLE 101910044,1060.0,272.0,857.0,,,14.0,230.0,,,,,,,139.0,4,GALENA PARK ISD 101910
CUNNINGHAM MIDDLE 178904046,565.0,138.0,353.0,,,52.0,114.0,59.0,,,17.0,,,52.0,2,CORPUS CHRISTI ISD 178904
CUNNINGHAM SCHOOL 243905108,490.0,31.0,68.0,,,,28.0,,,,,,,11.0,9,WICHITA FALLS ISD 243905
CUNNINGHAM SPECIAL ED CENTER 243905115,35.0,,,,,,,,,,,,,,9,WICHITA FALLS ISD 243905
CURINGTON EL 130901101,689.0,23.0,55.0,,,,22.0,,,,,,,,20,BOERNE ISD 130901
CURTIS EL 123910105,614.0,23.0,31.0,,,,22.0,,,,,,,,5,BEAUMONT ISD 123910
CURTIS EL 184903105,737.0,25.0,40.0,,,,25.0,,,,,,,,11,WEATHERFORD ISD 184903
CURTISTENE S MCCOWAN MIDDLE (ISTEA 057906043,1113.0,231.0,462.0,,,18.0,144.0,,,,,,,152.0,10,DESOTO ISD 057906
CURTSINGER EL 043905103,763.0,,,,,,,,,,,,,,10,FRISCO ISD 043905
CUSHING EL 174902002,291.0,,,,,,,,,,,,,,7,CUSHING ISD 174902
CUSHING SCHOOL 174902001,302.0,,,,,,,,,,,,,,7,CUSHING ISD 174902
CY-FAIR H S 101907002,3654.0,524.0,1529.0,11.0,11.0,69.0,389.0,10.0,,,63.0,,,317.0,4,CYPRESS-FAIRBANKS ISD 101907
CYNTHIA A COCKRELL EL 043912104,1019.0,23.0,42.0,,,,22.0,,,,,,,,10,PROSPER ISD 043912
CYPRESS CREEK H S 101907004,3548.0,650.0,2696.0,,,142.0,553.0,29.0,,,128.0,,,335.0,4,CYPRESS-FAIRBANKS ISD 101907
CYPRESS EL 246913104,705.0,20.0,70.0,,,,20.0,,,,,,,,13,LEANDER ISD 246913
CYPRESS FALLS H S 101907007,3641.0,745.0,2369.0,,,76.0,676.0,15.0,,,69.0,,,268.0,4,CYPRESS-FAIRBANKS ISD 101907
CYPRESS GROVE INT 021901202,701.0,119.0,361.0,,,,117.0,,,,,,,39.0,6,COLLEGE STATION ISD 021901
CYPRESS LAKES H S 101907013,3702.0,871.0,2311.0,,,83.0,753.0,12.0,,,75.0,,,382.0,4,CYPRESS-FAIRBANKS ISD 101907
CYPRESS PARK H S 101907015,1270.0,240.0,804.0,,,28.0,205.0,,,,,,,116.0,4,CYPRESS-FAIRBANKS ISD 101907
CYPRESS RANCH H S 101907012,3176.0,381.0,893.0,,,29.0,348.0,,,,,,,83.0,4,CYPRESS-FAIRBANKS ISD 101907
CYPRESS RIDGE H S 101907010,3244.0,794.0,2480.0,,,131.0,574.0,26.0,,,131.0,,,520.0,4,CYPRESS-FAIRBANKS ISD 101907
CYPRESS SPRINGS H S 101907009,3152.0,643.0,2030.0,,,58.0,523.0,,,,,,,343.0,4,CYPRESS-FAIRBANKS ISD 101907
CYPRESS WOODS H S 101907011,3592.0,366.0,817.0,,,67.0,300.0,15.0,,,53.0,,,172.0,4,CYPRESS-FAIRBANKS ISD 101907
CYPRESS-FAIRBANKS J J A E P 101907037,,13.0,13.0,13.0,13.0,,,,,,,,,,4,CYPRESS-FAIRBANKS ISD 101907
CYPRESSWOOD EL 101902136,955.0,64.0,136.0,,,,64.0,,,,,,,,4,ALDINE ISD 101902
D A HULCY STEAM MIDDLE 057905360,528.0,58.0,84.0,,,,13.0,,,,,,,49.0,10,DALLAS ISD 057905
D C CANNON EL 116908102,828.0,55.0,153.0,,,,55.0,,,,,,,,10,QUINLAN ISD 116908
D D HACHAR EL 240901119,586.0,,,,,,,,,,,,,,1,LAREDO ISD 240901
D H BRENT EL 061914103,739.0,29.0,75.0,,,,24.0,,,,,,,12.0,11,LITTLE ELM ISD 061914
D J RED SIMON MIDDLE 105906046,807.0,144.0,548.0,,,15.0,136.0,,,,,,,40.0,13,HAYS CISD 105906
D L ROUNTREE EL 043901101,679.0,23.0,61.0,,,,23.0,,,,,,,,10,ALLEN ISD 043901
D P MORRIS EL 220908109,617.0,76.0,166.0,,,,75.0,,,,,,,,11,MANSFIELD ISD 220908
D'HANIS SCHOOL 163902001,398.0,30.0,83.0,,,,25.0,,,,,,,12.0,20,D'HANIS ISD 163902
DAEP 159901003,,56.0,83.0,,,37.0,11.0,22.0,,,15.0,,,13.0,20,EAGLE PASS ISD 159901
DAEP 221901006,,15.0,33.0,,,,,,,,,,,14.0,14,ABILENE ISD 221901
DAEP AT HOLMGREEN 015915035,,21.0,41.0,,,,,,,,,,,15.0,20,NORTHSIDE ISD 015915
DAFFRON EL 043910124,664.0,11.0,20.0,,,,10.0,,,,,,,,10,PLANO ISD 043910
DAGGETT EL 220905119,747.0,,,,,,,,,,,,,,11,FORT WORTH ISD 220905
DAGGETT MIDDLE 220905042,419.0,166.0,726.0,,,25.0,127.0,15.0,,,11.0,,,145.0,11,FORT WORTH ISD 220905
DAGGETT MONTESSORI 220905194,506.0,26.0,31.0,,,,12.0,,,,,,,18.0,11,FORT WORTH ISD 220905
DAICHES EL 240901104,643.0,26.0,36.0,,,,26.0,,,,,,,,1,LAREDO ISD 240901
DAILEY MIDDLE 227910043,737.0,291.0,1665.0,,,39.0,254.0,,,,,,,142.0,13,DEL VALLE ISD 227910
DAINGERFIELD H S 172902001,308.0,,,,,34.0,,27.0,,,,,,,8,DAINGERFIELD-LONE STAR ISD 172902
DAINGERFIELD J H 172902041,234.0,73.0,202.0,,,,65.0,23.0,,,,,,22.0,8,DAINGERFIELD-LONE STAR ISD 172902
DALHART EL 056901104,514.0,,,,,,,,,,,,,,16,DALHART ISD 056901
DALHART H S 056901001,543.0,39.0,60.0,,,,33.0,,,,,,,,16,DALHART ISD 056901
DALHART INT 056901105,424.0,14.0,17.0,,,,13.0,,,,,,,,16,DALHART ISD 056901
DALHART J H 056901042,424.0,62.0,116.0,,,13.0,56.0,,,,,,,16.0,16,DALHART ISD 056901
DALLAS CAN ACADEMY - GRANT EAST 057804005,742.0,,,,,,,,,,,,,,10,TEXANS CAN ACADEMIES 057804
DALLAS CAN ACADEMY AT CARROLLTON-F 057804003,732.0,,,,,,,,,,,,,,10,TEXANS CAN ACADEMIES 057804
DALLAS CAN ACADEMY AT PLEASANT GRO 057804004,957.0,,,,,,,,,,,,,,10,TEXANS CAN ACADEMIES 057804
DALLAS CAN ACADEMY CHARTER 057804001,1094.0,,,,,,,,,,,,,,10,TEXANS CAN ACADEMIES 057804
DALLAS CAN ACADEMY CHARTER-OAK CLI 057804002,1097.0,,,,,,,,,,,,,,10,TEXANS CAN ACADEMIES 057804
DALLAS COUNTY JUVENILE JUSTICE 057814001,998.0,,,,,,,,,,,,,,10,ACADEMY FOR ACADEMIC EXCELLENCE 057814
DALLAS ENVIRONMENTAL SCIENCE ACADE 057905071,441.0,,,,,,,,,,,,,,10,DALLAS ISD 057905
DALLAS PARK EL 220912108,797.0,36.0,72.0,,,,35.0,,,,,,,,11,CROWLEY ISD 220912
DALTON EL 232903102,605.0,,,,,,,,,,,,,,20,UVALDE CISD 232903
DAMON EL 020910101,193.0,39.0,155.0,,,,,,,,,,,,4,DAMON ISD 020910
DAMON H S 020910001,30.0,11.0,45.0,,,,,,,,,,,,4,DAMON ISD 020910
DAN CHADWICK CAMPUS 092801001,181.0,,,,,,,,,,,,,,7,EAST TEXAS CHARTER SCHOOLS 092801
DAN D ROGERS EL 057905203,563.0,10.0,11.0,,,,,,,,,,,10.0,10,DALLAS ISD 057905
DAN J KUBACAK EL 084909104,1169.0,25.0,46.0,,,,25.0,,,,,,,,4,SANTA FE ISD 084909
DAN POWELL INT 220904105,540.0,105.0,147.0,,,17.0,95.0,18.0,,,,,,,11,EVERMAN ISD 220904
DANBURY EL 020904101,369.0,27.0,44.0,,,,22.0,,,,,,,,4,DANBURY ISD 020904
DANBURY H S 020904001,244.0,39.0,139.0,,,,35.0,,,,,,,16.0,4,DANBURY ISD 020904
DANBURY MIDDLE 020904041,199.0,32.0,74.0,,,,29.0,,,,,,,,4,DANBURY ISD 020904
DANFORTH J H 105905041,663.0,64.0,141.0,,,15.0,59.0,18.0,,,,,,,13,WIMBERLEY ISD 105905
DANIEL RAMIREZ EL 108909116,626.0,,,,,,,,,,,,,,1,PHARR-SAN JUAN-ALAMO ISD 108909
DANIEL SINGLETERRY SR 108902116,609.0,,18.0,,,,,,,,,,,,1,DONNA ISD 108902
DANIEL WEBSTER EL 057905225,609.0,22.0,33.0,,,,,,,,,,,22.0,10,DALLAS ISD 057905
DANIELS EL 133903101,685.0,16.0,19.0,,,,15.0,,,,,,,,20,KERRVILLE ISD 133903
DANISH EL 101907145,1112.0,79.0,229.0,,,,77.0,,,,,,,13.0,4,CYPRESS-FAIRBANKS ISD 101907
DANNY JONES MIDDLE 220908044,1115.0,133.0,365.0,,,12.0,120.0,,,,,,,37.0,11,MANSFIELD ISD 220908
DARROUZETT SCHOOLS 148905101,121.0,,,,,,,,,,,,,,16,DARROUZETT ISD 148905
DARTMOUTH EL 057916127,363.0,,14.0,,,,,,,,,,,,10,RICHARDSON ISD 057916
DARWIN L GILMORE EL 084910127,903.0,,14.0,,,,,,,,,,,,4,CLEAR CREEK ISD 084910
DAUGHERTY EL 057909108,820.0,12.0,17.0,,,,10.0,,,,,,,,10,GARLAND ISD 057909
DAVID AND LYNDA OLSON EL 043901116,679.0,17.0,35.0,,,,16.0,,,,,,,,10,ALLEN ISD 043901
DAVID BARKLEY/FRANCISCO RUIZ EL 015907162,543.0,10.0,21.0,,,,,,,,,,,10.0,20,SAN ANTONIO ISD 015907
DAVID CROCKETT EL 015907118,732.0,26.0,41.0,,,,,,,,,,,24.0,20,SAN ANTONIO ISD 015907
DAVID CROCKETT MIDDLE 079907053,1082.0,131.0,267.0,,,26.0,92.0,12.0,,,17.0,,,77.0,4,FORT BEND ISD 079907
DAVID DANIELS EL ACADEMY OF SCIENC 057910104,537.0,,,,,,,,,,,,,,10,GRAND PRAIRIE ISD 057910
DAVID E SMITH EL 220902102,480.0,14.0,42.0,,,,12.0,,,,,,,,11,BIRDVILLE ISD 220902
DAVID EL 170902118,740.0,,,,,,,,,,,,,,6,CONROE ISD 170902
DAVID G BURNET EL 057905116,748.0,12.0,19.0,,,,,,,,,,,12.0,10,DALLAS ISD 057905
DAVID G SANCHEZ EL 031905106,422.0,,,,,,,,,,,,,,1,LA FERIA ISD 031905
DAVID K SELLARS EL 220905186,677.0,,,,,,,,,,,,,,11,FORT WORTH ISD 220905
DAVID L WALKER INT 220912113,668.0,242.0,711.0,,,12.0,201.0,,,,,,,146.0,11,CROWLEY ISD 220912
DAVID S CROCKETT EARLY CHILDHOOD C 070903106,451.0,,,,,,,,,,,,,,10,ENNIS ISD 070903
DAVID W CARTER H S 057905023,1273.0,109.0,154.0,,,31.0,29.0,,,,,,,79.0,10,DALLAS ISD 057905
DAVILA EL 101912297,417.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
DAVINCI SCHOOL FOR SCIENCE AND THE 071801003,401.0,,,,,,,,,,,,,,19,BURNHAM WOOD CHARTER SCHOOL DISTRI 071801
DAVIS EL 043910111,451.0,,10.0,,,,,,,,,,,,10,PLANO ISD 043910
DAVIS EL 057903113,574.0,,27.0,,,,,,,,,,,,10,CARROLLTON-FARMERS BRANCH ISD 057903
DAVIS EL 057909126,622.0,15.0,17.0,,,,10.0,,,,,,,,10,GARLAND ISD 057909
DAVIS EL 057912121,982.0,19.0,36.0,,,,,,,,,,,16.0,10,IRVING ISD 057912
DAVIS EL 199902102,595.0,29.0,64.0,,,,29.0,,,,,,,,10,ROYSE CITY ISD 199902
DAVIS EL 227901179,863.0,,10.0,,,,,,,,,,,,13,AUSTIN ISD 227901
