CAMPUS NAME AND NUMBER,CAMPUS CUMULATIVE YEAR END ENROLLMENT,CAMPUS DISCIPLINE POPULATION,CAMPUS DISCIPLINE RECORD COUNT,COUNT OF STUDENTS EXPELLED,COUNT OF STUDENTS EXPELLED TO JJAEP,COUNT OF STUDENTS REMOVED TO A DAEP,COUNT OF STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL,REGION,DISTRICT NAME AND NUMBER
ACHZIGER EL 057914132,1037.0,27.0,52.0,,,,27.0,,,,,,,,10,MESQUITE ISD 057914
ACTON EL 111901102,942.0,19.0,26.0,,,,17.0,,,,,,,,11,GRANBURY ISD 111901
ACTON MIDDLE 111901042,929.0,119.0,359.0,,,17.0,112.0,,,,,,,28.0,11,GRANBURY ISD 111901
AD WHEAT MIDDLE 126903107,759.0,253.0,715.0,,,63.0,241.0,68.0,,,10.0,,,61.0,11,CLEBURNE ISD 126903
ADA MAE FAUBION EL 246913102,515.0,13.0,18.0,,,,12.0,,,,,,,,13,LEANDER ISD 246913
ADAM EL 101907107,895.0,55.0,218.0,,,,52.0,,,,,,,12.0,4,CYPRESS-FAIRBANKS ISD 101907
ADAMS EL 126903101,442.0,21.0,37.0,,,,21.0,,,,,,,,11,CLEBURNE ISD 126903
ADAMS EL 220901161,928.0,60.0,117.0,,,,49.0,,,,,,,21.0,11,ARLINGTON ISD 220901
ADAMS HILL EL 015915123,556.0,53.0,75.0,,,,49.0,,,,,,,,20,NORTHSIDE ISD 015915
ADAMS MIDDLE 125901043,768.0,197.0,755.0,,,31.0,175.0,,,,,,,97.0,2,ALICE ISD 125901
ADELFA BOTELLO CALLEJO EL 057905247,715.0,18.0,23.0,,,,,,,,,,,11.0,10,DALLAS ISD 057905
ADELLE TURNER EL 057905219,312.0,13.0,30.0,,,,,,,,,,,13.0,10,DALLAS ISD 057905
ADKINS MIDDLE 178904057,714.0,130.0,278.0,,,17.0,101.0,,,,,,,52.0,2,CORPUS CHRISTI ISD 178904
ADMIN SERVICES 101903199,66.0,,,,,,,,,,,,,,4,ALIEF ISD 101903
ADRIAN SCHOOL 180903001,126.0,,,,,,,,,,,,,,16,ADRIAN ISD 180903
ADULT TRANSITION SERVICES 227909005,19.0,,,,,,,,,,,,,,13,EANES ISD 227909
ADVANCED LEARNING ACADEMY 015907026,724.0,39.0,76.0,,,12.0,33.0,,,,,,,,20,SAN ANTONIO ISD 015907
ADVANTAGE ACADEMY 057806101,1841.0,193.0,349.0,,,,141.0,,,,,,,101.0,10,ADVANTAGE ACADEMY 057806
AEP 170906011,10.0,,,,,,,,,,,,,,6,MAGNOLIA ISD 170906
AGNES COTTON ACADEMY 015907117,544.0,56.0,90.0,,,,27.0,,,,,,,39.0,20,SAN ANTONIO ISD 015907
AGNEW MIDDLE 057914041,883.0,240.0,701.0,,,32.0,226.0,16.0,,,21.0,,,54.0,10,MESQUITE ISD 057914
AGUA DULCE ELEMENTARY SCHOOL 178901101,165.0,,,,,,,,,,,,,,2,AGUA DULCE ISD 178901
AGUA DULCE H S 178901001,211.0,31.0,57.0,,,,30.0,,,,,,,,2,AGUA DULCE ISD 178901
AGUIRRE J H 101905043,1104.0,107.0,240.0,,,13.0,100.0,,,,,,,20.0,4,CHANNELVIEW ISD 101905
AIA LANCASTER EL 101849105,10.0,,,,,,,,,,,,,,4,ACCELERATED INTERMEDIATE ACADEMY 101849
AIDA C ESCOBAR EL 108909113,885.0,,,,,,,,,,,,,,1,PHARR-SAN JUAN-ALAMO ISD 108909
AIKEN EL 031901133,795.0,17.0,36.0,,,,,,,,,,,17.0,1,BROWNSVILLE ISD 031901
AIKIN EL 057916135,843.0,21.0,41.0,,,,10.0,,,,,,,14.0,10,RICHARDSON ISD 057916
AIKIN EL 139909109,978.0,135.0,356.0,,,,134.0,,,,,,,16.0,8,PARIS ISD 139909
AIKMAN EL 059901101,453.0,,,,,,,,,,,,,,16,HEREFORD ISD 059901
AIM CENTER H S 181907002,107.0,,,,,,,,,,,,,,5,VIDOR ISD 181907
AIM COLLEGE & CAREER PREP 084902007,98.0,30.0,98.0,,,,26.0,,,,,,,12.0,4,GALVESTON ISD 084902
AIRPORT EL 108913110,618.0,,14.0,,,,,,,,,,,,1,WESLACO ISD 108913
AKIN EL 095903102,306.0,,,,,,,,,,,,,,17,HALE CENTER ISD 095903
AKINS H S 227901017,2895.0,290.0,561.0,,,73.0,173.0,,,,85.0,,,142.0,13,AUSTIN ISD 227901
ALAMO EL 101911101,823.0,44.0,88.0,,,,44.0,,,,,,,,4,GOOSE CREEK CISD 101911
ALAMO HEIGHTS H S 015901001,1622.0,84.0,160.0,,,36.0,55.0,,,,,,,38.0,20,ALAMO HEIGHTS ISD 015901
ALAMO HEIGHTS J H 015901041,1144.0,59.0,123.0,,,17.0,57.0,,,,,,,,20,ALAMO HEIGHTS ISD 015901
ALAMO J H 165901041,800.0,237.0,1025.0,,,41.0,169.0,61.0,,,16.0,,,183.0,18,MIDLAND ISD 165901
ALAMO MIDDLE 108909042,684.0,44.0,65.0,,,13.0,,,,,,,,42.0,1,PHARR-SAN JUAN-ALAMO ISD 108909
ALAN B SHEPARD MIDDLE 015908042,638.0,109.0,277.0,,,12.0,88.0,,,,,,,54.0,20,SOUTH SAN ANTONIO ISD 015908
ALBA-GOLDEN EL 250906101,470.0,,,,,,,,,,,,,,7,ALBA-GOLDEN ISD 250906
ALBA-GOLDEN H S 250906001,469.0,47.0,77.0,,,,15.0,,,,,,,,7,ALBA-GOLDEN ISD 250906
ALBANY JR-SR H S 209901001,236.0,,,,,,,,,,,,,,14,ALBANY ISD 209901
ALBERT & IOLA LEE DAVIS MALVERN EL 043907118,598.0,30.0,72.0,,,,16.0,,,,,,,27.0,10,MCKINNEY ISD 043907
ALBERT C WILLIAMS EL 116903104,396.0,38.0,61.0,,,,33.0,,,,,,,12.0,10,COMMERCE ISD 116903
ALBERT SIDNEY JOHNSTON EL 057905163,463.0,,,,,,,,,,,,,,10,DALLAS ISD 057905
ALBRIGHT MIDDLE 101903045,1237.0,339.0,1187.0,,,31.0,294.0,,,,,,,172.0,4,ALIEF ISD 101903
ALCOTT EL 101912102,299.0,12.0,24.0,,,,,,,,,,,11.0,4,HOUSTON ISD 101912
ALDERSON EL 152901194,619.0,54.0,80.0,,,14.0,47.0,,,,,,,,17,LUBBOCK ISD 152901
