CAMPUS NAME AND NUMBER,CAMPUS CUMULATIVE YEAR END ENROLLMENT,CAMPUS DISCIPLINE POPULATION,CAMPUS DISCIPLINE RECORD COUNT,COUNT OF STUDENTS EXPELLED,COUNT OF STUDENTS EXPELLED TO JJAEP,COUNT OF STUDENTS REMOVED TO A DAEP,COUNT OF STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL,REGION,DISTRICT NAME AND NUMBER,DisciplinePopPct,DisciplineRecordCtPct,ExpelledPct,JJAEP_Pct,DAEP_Pct,ISS_Pct,Discr_DAEP_Pct,Discr_Expul_Pct,Discr_Expul_JJAEP_Pct,Mand_DAEP_Pct,Mand_Expul_Pct,Mand_Expul_JJAEP_Pct,Suspension_Pct,DisciplinePopPct_Rank,DisciplineRecordCtPct_Rank,ExpelledPct_Rank,JJAEP_Pct_Rank,DAEP_Pct_Rank,ISS_Pct_Rank,Discr_DAEP_Pct_Rank,Discr_Expul_Pct_Rank,Discr_Expul_JJAEP_Pct_Rank,Mand_DAEP_Pct_Rank,Mand_Expul_Pct_Rank,Mand_Expul_JJAEP_Pct_Rank,Suspension_Pct_Rank
CLINT H S 071901001,708.0,80.0,159.0,,,16.0,77.0,,,,,,,,19,CLINT ISD 071901,0.11299435028248588,0.2245762711864407,,,0.022598870056497175,0.10875706214689265,,,,,,,,0.4095641432856891,0.3984889889085356,,,0.628158844765343,0.4074149521287431,,,,,,,
CLINT ISD EARLY COLLEGE ACADEMY 071901009,323.0,12.0,18.0,,,,,,,,,,,11.0,19,CLINT ISD 071901,0.03715170278637771,0.05572755417956656,,,,,,,,,,,0.034055727554179564,0.7912475736721369,0.7786529496865455,,,,,,,,,,,0.6637445209768316
CLINT J H SCHOOL 071901041,589.0,98.0,176.0,,,,97.0,,,,,,,10.0,19,CLINT ISD 071901,0.166383701188455,0.298811544991511,,,,0.16468590831918506,,,,,,,0.01697792869269949,0.25922004587965414,0.3161871081819643,,,,0.22652271338358118,,,,,,,0.9073262366938009
CLINT Q SMITH EL 057907106,404.0,62.0,155.0,,,,61.0,,,,,,,12.0,10,DUNCANVILLE ISD 057907,0.15346534653465346,0.38366336633663367,,,,0.15099009900990099,,,,,,,0.0297029702970297,0.2874536791953414,0.24111879119112684,,,,0.26461601140761865,,,,,,,0.7191609267376331
CLINTON P RUSSELL EL 057905205,759.0,19.0,27.0,,,,,,,,,,,19.0,10,DALLAS ISD 057905,0.025032938076416336,0.03557312252964427,,,,,,,,,,,0.025032938076416336,0.8921828127757191,0.8759041954669667,,,,,,,,,,,0.7795867251095805
CLOVERLEAF EL 101910102,887.0,,,,,,,,,,,,,,4,GALENA PARK ISD 101910,,,,,,,,,,,,,,,,,,,,,,,,,,
CLUB ESTATES 178904146,440.0,25.0,30.0,,,,16.0,,,,,,,12.0,2,CORPUS CHRISTI ISD 178904,0.056818181818181816,0.06818181818181818,,,,0.03636363636363636,,,,,,,0.02727272727272727,0.6551967531321687,0.7293843433531586,,,,0.7924220818904054,,,,,,,0.7506261740763932
CLUB HILL EL 057909132,593.0,22.0,44.0,,,,20.0,,,,,,,,10,GARLAND ISD 057909,0.03709949409780776,0.07419898819561552,,,,0.03372681281618887,,,,,,,,0.7917769542968061,0.7058350747468253,,,,0.8138113668771644,,,,,,,
CLUTE INT 020905041,994.0,211.0,603.0,,,22.0,197.0,14.0,,,10.0,,,61.0,4,BRAZOSPORT ISD 020905,0.21227364185110664,0.6066398390342053,,,0.022132796780684104,0.1981891348088531,0.014084507042253521,,,0.01006036217303823,,,0.0613682092555332,0.15669666490206458,0.12714997588812088,,,0.641395908543923,0.14748421267060502,0.6596273291925466,,,0.8974358974358975,,,0.39323731997495304
CLYDE EL 030902101,388.0,22.0,32.0,,,,22.0,,,,,,,,14,CLYDE CISD 030902,0.05670103092783505,0.08247422680412371,,,,0.05670103092783505,,,,,,,,0.656255514381507,0.6777045491078605,,,,0.6543084131187614,,,,,,,
CLYDE H S 030902001,432.0,28.0,44.0,,,,19.0,,,,,,,,14,CLYDE CISD 030902,0.06481481481481481,0.10185185185185185,,,,0.04398148148148148,,,,,,,,0.6154049761778719,0.6220864812731072,,,,0.7376247708290894,,,,,,,
CLYDE INT 030902103,365.0,35.0,75.0,,,,35.0,,,,,,,,14,CLYDE CISD 030902,0.0958904109589041,0.2054794520547945,,,,0.0958904109589041,,,,,,,,0.47961884595023824,0.4236457161228098,,,,0.46078631085760846,,,,,,,
CLYDE J H 030902041,366.0,22.0,36.0,,,,22.0,,,,,,,,14,CLYDE CISD 030902,0.060109289617486336,0.09836065573770492,,,,0.060109289617486336,,,,,,,,0.63905064407976,0.6325349622247227,,,,0.6340395192503565,,,,,,,
COAHOMA EL 114902101,588.0,43.0,80.0,,,,40.0,,,,,,,,18,COAHOMA ISD 114902,0.07312925170068027,0.1360544217687075,,,,0.06802721088435375,,,,,,,,0.5740250573495677,0.5415528050152708,,,,0.5880016296598085,,,,,,,
COAHOMA H S 114902001,269.0,70.0,117.0,,,,64.0,,,,,,,,18,COAHOMA ISD 114902,0.26022304832713755,0.4349442379182156,,,,0.2379182156133829,,,,,,,,0.08223045703193929,0.2068799228419868,,,,0.08616826237522918,,,,,,,
COAHOMA J H 114902041,219.0,34.0,45.0,,,,34.0,,,,,,,,18,COAHOMA ISD 114902,0.1552511415525114,0.2054794520547945,,,,0.1552511415525114,,,,,,,,0.28365978471854597,0.4236457161228098,,,,0.2528009777958851,,,,,,,
COAKLEY MIDDLE 031903041,779.0,131.0,308.0,,,28.0,113.0,19.0,,,16.0,,,45.0,1,HARLINGEN CISD 031903,0.1681643132220796,0.39537869062901154,,,0.03594351732991014,0.14505776636713735,0.024390243902439025,,,0.02053915275994865,,,0.057766367137355584,0.2537497794247397,0.23468895675936344,,,0.34657039711191334,0.2813200244448971,0.37453416149068325,,,0.45479082321187586,,,0.4245460237946149
COASTAL ALTERNATIVE PROGRAM (CAP) 084901014,,,13.0,,,,,,,,,,,,4,DICKINSON ISD 084901,,,,,,,,,,,,,,,,,,,,,,,,,,
COASTAL ALTERNATIVE PROGRAM (CAP) 084906014,,,,11.0,,,,,11.0,,,,,,4,TEXAS CITY ISD 084906,,,,,,,,,,,,,,,,,,,,,,,,,,
COASTAL VILLAGE EL 084902114,483.0,82.0,427.0,,,,77.0,,,,,,,28.0,4,GALVESTON ISD 084902,0.16977225672877846,0.8840579710144928,,,,0.15942028985507245,,,,,,,0.057971014492753624,0.2502205752602788,0.05529657611316509,,,,0.24241189651660217,,,,,,,0.4223544145272386
COBB 6TH GRADE CAMPUS 101910045,1199.0,199.0,786.0,,,15.0,177.0,,,,,,,116.0,4,GALENA PARK ISD 101910,0.16597164303586323,0.6555462885738115,,,0.012510425354462052,0.14762301918265222,,,,,,,0.09674728940783987,0.2599258867125463,0.11091464394791833,,,0.8910950661853189,0.2739865553065797,,,,,,,0.20507201001878522
COBB MIDDLE 043905053,973.0,55.0,155.0,,,,53.0,,,,,,,33.0,10,FRISCO ISD 043905,0.0565262076053443,0.1593011305241521,,,,0.05447070914696814,,,,,,,0.03391572456320658,0.6581965766719605,0.49557948882816266,,,,0.6657160317783662,,,,,,,0.6656230432060113
COCKRELL HILL EL 057906107,750.0,65.0,90.0,,,,57.0,,,,,,,13.0,10,DESOTO ISD 057906,0.08666666666666667,0.12,,,,0.076,,,,,,,0.017333333333333333,0.517028410093524,0.5754701816428227,,,,0.5536769199429619,,,,,,,0.9013775829680651
CODER EL 184907102,523.0,,,,,,,,,,,,,,11,ALEDO ISD 184907,,,,,,,,,,,,,,,,,,,,,,,,,,
CODWELL EL 101912123,482.0,12.0,17.0,,,,,,,,,,,12.0,4,HOUSTON ISD 101912,0.024896265560165973,0.035269709543568464,,,,,,,,,,,0.024896265560165973,0.8935944944415034,0.8773509082141134,,,,,,,,,,,0.7824045084533501
CODY EL 015915135,670.0,39.0,68.0,,,,38.0,,,,,,,,20,NORTHSIDE ISD 015915,0.058208955223880594,0.10149253731343283,,,,0.056716417910447764,,,,,,,,0.6490206458443621,0.6230509564378717,,,,0.6540028519046649,,,,,,,
COGGIN INT 025902101,906.0,81.0,180.0,,,,81.0,,,,,,,,15,BROWNWOOD ISD 025902,0.08940397350993377,0.1986754966887417,,,,0.08940397350993377,,,,,,,,0.5059996470795836,0.43433531586561647,,,,0.48950906498268487,,,,,,,
COKER EL 015910102,886.0,18.0,36.0,,,,17.0,,,,,,,,20,NORTH EAST ISD 015910,0.020316027088036117,0.040632054176072234,,,,0.019187358916478554,,,,,,,,0.9375330862890419,0.8466484488024434,,,,0.9392951721328173,,,,,,,
COL JOHN O ENSOR MIDDLE 071909046,1129.0,176.0,429.0,,,14.0,147.0,,,,,,,82.0,19,SOCORRO ISD 071909,0.15589016829052257,0.3799822852081488,,,0.012400354295837024,0.13020372010628875,,,,,,,0.07263064658990256,0.28163049232398096,0.24369072496383218,,,0.8929001203369434,0.3295986962721532,,,,,,,0.32811521603005633
COL SANTOS BENAVIDES EL 240903122,1069.0,,,,,,,,,,,,,,1,UNITED ISD 240903,,,,,,,,,,,,,,,,,,,,,,,,,,
COLBERT EL 146902102,259.0,,,,,,,,,,,,,,4,DAYTON ISD 146902,,,,,,,,,,,,,,,,,,,,,,,,,,
COLDSPRING INT 204901103,406.0,52.0,101.0,,,,51.0,,,,,,,,6,COLDSPRING-OAKHURST CISD 204901,0.12807881773399016,0.24876847290640394,,,,0.12561576354679804,,,,,,,,0.3607728957120169,0.3682687670792477,,,,0.3452841719291098,,,,,,,
COLDSPRING-OAKHURST H S 204901001,494.0,115.0,263.0,,,24.0,107.0,13.0,,,19.0,,,,6,COLDSPRING-OAKHURST CISD 204901,0.23279352226720648,0.5323886639676113,,,0.048582995951417005,0.2165991902834008,0.02631578947368421,,,0.038461538461538464,,,,0.1189341803423328,0.1583346728821733,,,0.17870036101083034,0.11652067630882053,0.3403726708074534,,,0.08906882591093117,,,
COLDWELL EL 071902110,539.0,11.0,17.0,,,,,,,,,,,11.0,19,EL PASO ISD 071902,0.02040816326530612,0.03153988868274583,,,,,,,,,,,0.02040816326530612,0.9361214046232574,0.8984086159781386,,,,,,,,,,,0.8489355040701315
COLE EL 015915228,869.0,,14.0,,,,,,,,,,,,20,NORTHSIDE ISD 015915,,0.01611047180667434,,,,,,,,,,,,,0.9845683973637679,,,,,,,,,,,
COLEMAN EL 042901102,431.0,18.0,27.0,,,,17.0,,,,,,,,15,COLEMAN ISD 042901,0.04176334106728538,0.06264501160092807,,,,0.03944315545243619,,,,,,,,0.7601023469207694,0.7514065262819483,,,,0.7700142595233245,,,,,,,
COLEMAN EL 126903102,579.0,18.0,31.0,,,,17.0,,,,,,,,11,CLEBURNE ISD 126903,0.031088082901554404,0.0535405872193437,,,,0.02936096718480138,,,,,,,,0.8422445738485972,0.7871724803086321,,,,0.8519046649012019,,,,,,,
COLEMAN H S 042901001,262.0,47.0,191.0,,,,43.0,,,,,,,,15,COLEMAN ISD 042901,0.17938931297709923,0.7290076335877863,,,,0.16412213740458015,,,,,,,,0.22798658902417504,0.0916251406526282,,,,0.2285597881442249,,,,,,,
COLEMAN J H 042901041,277.0,85.0,384.0,,,,85.0,,,,,,,16.0,15,COLEMAN ISD 042901,0.30685920577617326,1.3862815884476534,,,,0.30685920577617326,,,,,,,0.05776173285198556,0.0432327510146462,0.013663398167497186,,,,0.028315339172947648,,,,,,,0.4248591108328115
COLES H S AND EDUCATIONAL CENTER 178904009,582.0,86.0,163.0,,,23.0,52.0,10.0,,,14.0,,,50.0,2,CORPUS CHRISTI ISD 178904,0.14776632302405499,0.2800687285223368,,,0.03951890034364261,0.08934707903780069,0.01718213058419244,,,0.024054982817869417,,,0.0859106529209622,0.30404093876830773,0.3333869152869314,,,0.29061371841155237,0.48991647993481363,0.5602484472049689,,,0.33063427800269907,,,0.25579211020663745
COLIN L POWELL EL 071902175,728.0,21.0,40.0,,,,,,,,,,,19.0,19,EL PASO ISD 071902,0.028846153846153848,0.054945054945054944,,,,,,,,,,,0.0260989010989011,0.8611258161284631,0.7815463751808391,,,,,,,,,,,0.7683155917345021
COLIN POWELL EL 057910123,563.0,26.0,43.0,,,,26.0,,,,,,,,10,GRAND PRAIRIE ISD 057910,0.046181172291296625,0.0763765541740675,,,,0.046181172291296625,,,,,,,,0.7277218987118405,0.6989230027326796,,,,0.7205133428396823,,,,,,,
COLLEGE CAREER & TECHNOLOGY ACAD 108909008,10.0,,,,,,,,,,,,,,1,PHARR-SAN JUAN-ALAMO ISD 108909,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE CAREER TECHNOLOGY ACADEMY 071902020,265.0,34.0,75.0,,,16.0,,,,,,,,29.0,19,EL PASO ISD 071902,0.12830188679245283,0.2830188679245283,,,0.06037735849056604,,,,,,,,0.10943396226415095,0.35997882477501325,0.33065423565343194,,,0.08664259927797834,,,,,,,,0.16781465247338762
COLLEGE HILL EL 095905102,469.0,40.0,103.0,,,,39.0,,,,,,,,17,PLAINVIEW ISD 095905,0.08528784648187633,0.21961620469083157,,,,0.08315565031982942,,,,,,,,0.5230280571731075,0.4042758398971226,,,,0.5190466490120187,,,,,,,
COLLEGE HILLS EL 021901102,788.0,38.0,87.0,,,,38.0,,,,,,,,6,COLLEGE STATION ISD 021901,0.048223350253807105,0.11040609137055837,,,,0.048223350253807105,,,,,,,,0.7106934886183166,0.5990998231795531,,,,0.703401914850275,,,,,,,
COLLEGE PARK EL 101916105,483.0,15.0,28.0,,,,,,,,,,,,4,LA PORTE ISD 101916,0.031055900621118012,0.057971014492753624,,,,,,,,,,,,0.8429504146814893,0.7687670792477094,,,,,,,,,,,
COLLEGE PARK H S 170902014,3243.0,307.0,912.0,,,58.0,269.0,12.0,,,52.0,,,102.0,6,CONROE ISD 170902,0.0946654332408264,0.28122109158186864,,,0.017884674683934627,0.08294788775824853,0.0037002775208140612,,,0.016034535923527597,,,0.03145235892691952,0.4849126521969296,0.3319402025397846,,,0.7490974729241877,0.5198614789162762,0.9838509316770186,,,0.631578947368421,,,0.6969317470256732
COLLEGE ST EL 061902102,290.0,30.0,74.0,,,,30.0,,,,,,,,11,LEWISVILLE ISD 061902,0.10344827586206896,0.25517241379310346,,,,0.10344827586206896,,,,,,,,0.44715016763719784,0.36280340781224885,,,,0.42788755347321245,,,,,,,
COLLEGE STATION H S 021901003,2078.0,185.0,552.0,,,33.0,165.0,16.0,,,19.0,,,73.0,6,COLLEGE STATION ISD 021901,0.08902791145332051,0.26564003849855633,,,0.01588065447545717,0.07940327237728585,0.007699711260827719,,,0.009143407122232916,,,0.03512993262752647,0.5076760190577025,0.3507474682526925,,,0.8086642599277978,0.5373803218578121,0.8770186335403727,,,0.9244264507422402,,,0.6484032561051972
COLLEGE STATION MIDDLE 021901041,1100.0,59.0,138.0,,,,58.0,,,,,,,19.0,6,COLLEGE STATION ISD 021901,0.053636363636363635,0.12545454545454546,,,,0.05272727272727273,,,,,,,0.017272727272727273,0.6737250749955885,0.5630927503616782,,,,0.6749847219392952,,,,,,,0.9029430181590482
COLLEGE STREET EL 212903101,509.0,36.0,,,,,34.0,,,,,,,,7,LINDALE ISD 212903,0.07072691552062868,,,,,0.06679764243614932,,,,,,,,0.5853185106758426,,,,,0.5940110002037075,,,,,,,
COLLEGE VIEW H S 021901004,72.0,19.0,41.0,,,,18.0,,,,,,,,6,COLLEGE STATION ISD 021901,0.2638888888888889,0.5694444444444444,,,,0.25,,,,,,,,0.07870125286747838,0.14097411991641215,,,,0.07343654512120595,,,,,,,
COLLEGIATE ACADEMY 084902006,688.0,333.0,1387.0,,,23.0,319.0,,,,,,,80.0,4,GALVESTON ISD 084902,0.48401162790697677,2.015988372093023,,,0.03343023255813953,0.4636627906976744,,,,,,,0.11627906976744186,0.0035292041644609143,0.0040186465198521135,,,0.39771359807460893,0.0026481971888368304,,,,,,,0.14918597370068878
COLLEGIATE H S 178904008,398.0,,,,,,,,,,,,,,2,CORPUS CHRISTI ISD 178904,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEYVILLE EL 220906102,478.0,,,,,,,,,,,,,,11,GRAPEVINE-COLLEYVILLE ISD 220906,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEYVILLE HERITAGE H S 220906004,2035.0,206.0,529.0,,,33.0,180.0,,,,,,,78.0,11,GRAPEVINE-COLLEYVILLE ISD 220906,0.10122850122850123,0.2599508599508599,,,0.016216216216216217,0.08845208845208845,,,,,,,0.03832923832923833,0.45897300158814186,0.35749879440604404,,,0.799338146811071,0.4949073130983907,,,,,,,0.6102066374452098
COLLEYVILLE MIDDLE 220906042,666.0,39.0,70.0,,,,36.0,,,,,,,10.0,11,GRAPEVINE-COLLEYVILLE ISD 220906,0.05855855855855856,0.10510510510510511,,,,0.05405405405405406,,,,,,,0.015015015015015015,0.6461972825127934,0.6111557627391094,,,,0.6675493990629456,,,,,,,0.9364433312460864
COLLIER EL 015904103,561.0,19.0,39.0,,,,,,,,,,,14.0,20,HARLANDALE ISD 015904,0.0338680926916221,0.06951871657754011,,,,,,,,,,,0.024955436720142603,0.8196576671960473,0.7246423404597332,,,,,,,,,,,0.7808390732623669
COLLINS EL 071902142,521.0,28.0,85.0,,,,16.0,,,,,,,19.0,19,EL PASO ISD 071902,0.053742802303262956,0.16314779270633398,,,,0.030710172744721688,,,,,,,0.036468330134357005,0.6724898535380271,0.4880244333708407,,,,0.8403951925035649,,,,,,,0.6327489041953663
COLLINS EL 101903122,1074.0,27.0,40.0,,,,24.0,,,,,,,,4,ALIEF ISD 101903,0.025139664804469275,0.037243947858473,,,,0.0223463687150838,,,,,,,,0.8905946709017116,0.8673846648448802,,,,0.9121002240782237,,,,,,,
COLLINS GARDEN EL 015907116,563.0,14.0,32.0,,,,,,,,,,,13.0,20,SAN ANTONIO ISD 015907,0.02486678507992895,0.056838365896980464,,,,,,,,,,,0.023090586145648313,0.8942121051702842,0.7739913197235171,,,,,,,,,,,0.8105823418910457
COLLINS INT 170902050,793.0,41.0,68.0,,,,41.0,,,,,,,,6,CONROE ISD 170902,0.05170239596469105,0.08575031525851198,,,,0.05170239596469105,,,,,,,,0.6869595906123169,0.6675775598778332,,,,0.6799755551028722,,,,,,,
COLLINS INT 175903042,968.0,68.0,114.0,,,,56.0,,,,,,,22.0,12,CORSICANA ISD 175903,0.07024793388429752,0.11776859504132231,,,,0.05785123966942149,,,,,,,0.022727272727272728,0.5886712546320805,0.5804533033274393,,,,0.6476879201466694,,,,,,,0.8146524733876017
COLLINS-PARR EL 066902101,779.0,32.0,56.0,,,,26.0,,,,,,,,2,SAN DIEGO ISD 066902,0.0410783055198973,0.07188703465982028,,,,0.03337612323491656,,,,,,,,0.7658373036880184,0.7158013181160585,,,,0.8180892238745162,,,,,,,
COLLINSVILLE EL 091902200,330.0,35.0,58.0,,,,35.0,,,,,,,,10,COLLINSVILLE ISD 091902,0.10606060606060606,0.17575757575757575,,,,0.10606060606060606,,,,,,,,0.4371801658725957,0.469538659379521,,,,0.4163780810755755,,,,,,,
COLLINSVILLE H S 091902001,268.0,22.0,33.0,,,,21.0,,,,,,,,10,COLLINSVILLE ISD 091902,0.08208955223880597,0.12313432835820895,,,,0.07835820895522388,,,,,,,,0.5335274395623787,0.5681562449766918,,,,0.5412507639030353,,,,,,,
COLMESNEIL EL 229901101,304.0,,12.0,,,,,,,,,,,,5,COLMESNEIL ISD 229901,,0.039473684210526314,,,,,,,,,,,,,0.8529175373734126,,,,,,,,,,,
COLMESNEIL JH/HS 229901001,234.0,,47.0,,,,,,,,,,,,5,COLMESNEIL ISD 229901,,0.20085470085470086,,,,,,,,,,,,,0.4314418903713229,,,,,,,,,,,
COLONIAL HEIGHTS EL 223901101,280.0,,,,,,,,,,,,,,17,BROWNFIELD ISD 223901,,,,,,,,,,,,,,,,,,,,,,,,,,
COLONIAL HILLS EL 015910103,847.0,36.0,72.0,,,,36.0,,,,,,,,20,NORTH EAST ISD 015910,0.04250295159386069,0.08500590318772137,,,,0.04250295159386069,,,,,,,,0.7543673901535204,0.6693457643465681,,,,0.7482175595844367,,,,,,,
COLONIES NORTH EL 015915115,854.0,57.0,139.0,,,,57.0,,,,,,,,20,NORTHSIDE ISD 015915,0.06674473067915691,0.16276346604215455,,,,0.06674473067915691,,,,,,,,0.6040232927474855,0.48963189197878154,,,,0.5942147076797718,,,,,,,
COLONY BEND EL 079907117,546.0,,13.0,,,,,,,,,,,,4,FORT BEND ISD 079907,,0.023809523809523808,,,,,,,,,,,,,0.9442211863044526,,,,,,,,,,,
COLONY MEADOWS EL 079907128,771.0,,,,,,,,,,,,,,4,FORT BEND ISD 079907,,,,,,,,,,,,,,,,,,,,,,,,,,
COLORADO EL AND MIDDLE 168901100,800.0,90.0,156.0,,,,86.0,,,,,,,,14,COLORADO ISD 168901,0.1125,0.195,,,,0.1075,,,,,,,,0.41203458620081174,0.4409258961581739,,,,0.41148910165003055,,,,,,,
COLORADO H S 168901001,251.0,,45.0,,,,24.0,,,,,,,,14,COLORADO ISD 168901,,0.17928286852589642,,,,0.09561752988047809,,,,,,,,,0.46310882494775757,,,,0.4620085557139947,,,,,,,
COLORADO RIVER COLLEGIATE ACADEMY 011901005,215.0,,,,,,,,,,,,,,13,BASTROP ISD 011901,,,,,,,,,,,,,,,,,,,,,,,,,,
COLT EL 027904102,669.0,35.0,67.0,,,,34.0,,,,,,,,13,MARBLE FALLS ISD 027904,0.052316890881913304,0.10014947683109118,,,,0.05082212257100149,,,,,,,,0.6825480854067408,0.6257836360713711,,,,0.687512731717254,,,,,,,
COLUMBIA H S 020907001,956.0,230.0,635.0,,,38.0,204.0,,,,,,,101.0,4,COLUMBIA-BRAZORIA ISD 020907,0.2405857740585774,0.6642259414225942,,,0.0397489539748954,0.21338912133891214,,,,,,,0.10564853556485355,0.10711134639138874,0.1081819643144189,,,0.28640192539109505,0.1210022407822367,,,,,,,0.17877269881026925
COLUMBIA HEIGHTS EL 015904104,479.0,,,,,,,,,,,,,,20,HARLANDALE ISD 015904,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS ALTERNATIVE SCHOOL 045902002,14.0,,,,,,,,,,,,,,3,COLUMBUS ISD 045902,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS ALTERNATIVE SCHOOL NEW UL 045902003,79.0,,,,,,,,,,,,,,3,COLUMBUS ISD 045902,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS EL 045902101,757.0,76.0,172.0,,,,74.0,,,,,,,,3,COLUMBUS ISD 045902,0.10039630118890357,0.22721268163804492,,,,0.0977542932628798,,,,,,,,0.4621492853361567,0.39398810480630125,,,,0.45406396414748423,,,,,,,
COLUMBUS H S 045902001,488.0,61.0,217.0,,,15.0,47.0,,,,,,,28.0,3,COLUMBUS ISD 045902,0.125,0.444672131147541,,,0.030737704918032786,0.09631147540983606,,,,,,,0.05737704918032787,0.3698605964355038,0.19932486738466484,,,0.44404332129963897,0.45813811366877166,,,,,,,0.4292423293675642
COLUMBUS J H 045902041,361.0,51.0,130.0,,,,47.0,,,,,,,,3,COLUMBUS ISD 045902,0.14127423822714683,0.3601108033240997,,,,0.13019390581717452,,,,,,,,0.32592200458796544,0.25783636071371163,,,,0.32980240374821757,,,,,,,
COMAL ACADEMY 046902201,124.0,,,,,,,,,,,,,,20,COMAL ISD 046902,,,,,,,,,,,,,,,,,,,,,,,,,,
COMAL DISCIPLINE CENTER 046902206,,48.0,94.0,,,17.0,,,,,,,,42.0,20,COMAL ISD 046902,,,,,,,,,,,,,,,,,,,,,,,,,,
COMANCHE EARLY CHILDHOOD CENTER 047901103,75.0,,,,,,,,,,,,,,14,COMANCHE ISD 047901,,,,,,,,,,,,,,,,,,,,,,,,,,
COMANCHE EL 047901101,725.0,,,,,,,,,,,,,,14,COMANCHE ISD 047901,,,,,,,,,,,,,,,,,,,,,,,,,,
COMANCHE H S 047901001,357.0,,,,,,38.0,,,,,,,,14,COMANCHE ISD 047901,,,,,,0.10644257703081232,,,,,,,,,,,,,0.4151558362191892,,,,,,,
COMANCHE SPRINGS EL 220918110,727.0,15.0,42.0,,,,13.0,,,,,,,,11,EAGLE MT-SAGINAW ISD 220918,0.02063273727647868,0.0577716643741403,,,,0.017881705639614855,,,,,,,,0.9328568907711311,0.7696511814820768,,,,0.9513139132206152,,,,,,,
COMFORT EL 130902101,557.0,42.0,69.0,,,,42.0,,,,,,,,13,COMFORT ISD 130902,0.07540394973070018,0.12387791741472172,,,,0.07540394973070018,,,,,,,,0.5629080642315158,0.566468413438354,,,,0.5563251171317988,,,,,,,
COMFORT H S 130902001,354.0,72.0,150.0,,,,62.0,,,,,,,14.0,13,COMFORT ISD 130902,0.2033898305084746,0.423728813559322,,,,0.1751412429378531,,,,,,,0.03954802259887006,0.1740779954120346,0.2152387076032792,,,,0.20462415970666123,,,,,,,0.5986224170319349
COMFORT MIDDLE 130902041,266.0,26.0,52.0,,,,22.0,,,,,,,11.0,13,COMFORT ISD 130902,0.09774436090225563,0.19548872180451127,,,,0.08270676691729323,,,,,,,0.041353383458646614,0.47203105699664727,0.4401221668542035,,,,0.5214911387247912,,,,,,,0.5788979336255479
COMMERCE EL 116903101,439.0,12.0,13.0,,,,12.0,,,,,,,,10,COMMERCE ISD 116903,0.02733485193621868,0.029612756264236904,,,,0.02733485193621868,,,,,,,,0.8718898888300688,0.9081337405561807,,,,0.8678957017722551,,,,,,,
COMMERCE H S 116903001,489.0,122.0,296.0,,,,109.0,,,,,,,26.0,10,COMMERCE ISD 116903,0.24948875255623723,0.6053169734151329,,,,0.2229038854805726,,,,,,,0.053169734151329244,0.09475913181577554,0.12795370519209132,,,,0.10552047260134446,,,,,,,0.4596117720726362
COMMERCE MIDDLE 116903043,358.0,58.0,122.0,,,,,,,,,,,58.0,10,COMMERCE ISD 116903,0.16201117318435754,0.3407821229050279,,,,,,,,,,,0.16201117318435754,0.26857243691547555,0.2760006429834432,,,,,,,,,,,0.06840951784596118
COMMONWEALTH EL 079907135,969.0,,,,,,,,,,,,,,4,FORT BEND ISD 079907,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMUNITY BASED PK 220901105,580.0,,,,,,,,,,,,,,11,ARLINGTON ISD 220901,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMUNITY H S 043918001,663.0,143.0,275.0,,,10.0,135.0,11.0,,,,,,21.0,10,COMMUNITY ISD 043918,0.21568627450980393,0.41478129713423834,,,0.015082956259426848,0.20361990950226244,0.016591251885369532,,,,,,0.03167420814479638,0.14813834480324686,0.22182928789583667,,,0.8309265944645006,0.13709513139132207,0.5788819875776398,,,,,,0.6950532247964935
COMMUNITY SERVICES-SEC 101912013,429.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912,,,,,,,,,,,,,,,,,,,,,,,,,,
COMO EL 220905117,506.0,17.0,30.0,,,,,,,,,,,17.0,11,FORT WORTH ISD 220905,0.03359683794466403,0.05928853754940711,,,,,,,,,,,0.03359683794466403,0.8210693488618317,0.7630606011895193,,,,,,,,,,,0.6682842830306825
COMO MONTESSORI 220905063,323.0,18.0,28.0,,,,,,,,,,,18.0,11,FORT WORTH ISD 220905,0.05572755417956656,0.08668730650154799,,,,,,,,,,,0.05572755417956656,0.6626963119816481,0.6658093554090982,,,,,,,,,,,0.44176581089542893
